"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","Event Length mm","Event Weight g","CTH Count"
"384.1B7971B131","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","6/24/2018 7:30:00 AM","NA","0","LEMHIR","6/24/2018 1:20:00 PM","75","","1"
"384.1B7971B356","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","6/20/2018 11:00:00 AM","NA","0","LEMHIR","6/20/2018 3:57:00 PM","56","2.6","1"
"384.1B7971B356","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/16/2019 2:49:11 AM","01","150","","","","","1"
"384.1B7971B356","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/16/2019 2:49:13 AM","02","150","","","","","1"
"384.1B7971B356","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/16/2019 2:49:14 AM","02","150","","","","","1"
"384.1B7971B356","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/16/2019 2:49:16 AM","03","150","","","","","1"
"384.1B7971B356","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/16/2019 3:18:17 AM","A1","150","","","","","1"
"384.1B7971B356","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/16/2019 3:18:17 AM","A2","150","","","","","1"
"384.1B7971B356","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/16/2019 3:18:29 AM","C1","150","","","","","1"
"384.1B7971B356","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/16/2019 3:18:29 AM","C2","150","","","","","1"
"384.1B7971B356","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/16/2019 3:18:31 AM","91","150","","","","","1"
"384.1B7971B356","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/16/2019 3:18:31 AM","92","150","","","","","1"
"384.1B7971B356","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","S2I","11/15/2018 9:31:01 PM","01","100","","","","","1"
"384.1B7971B41F","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","6/24/2018 7:30:00 AM","NA","0","LEMHIR","6/24/2018 1:20:00 PM","69","","1"
"384.1B7971B54A","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","6/27/2018 7:09:00 AM","NA","0","LEMHIR","6/27/2018 11:23:00 AM","59","2.5","1"
"384.1B7971B61A","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","6/24/2018 7:30:00 AM","NA","0","LEMHIR","6/24/2018 1:20:00 PM","52","1.9","1"
"384.1B7971B658","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","6/24/2018 7:30:00 AM","NA","0","LEMHIR","6/24/2018 1:20:00 PM","64","","1"
"384.1B7971B65A","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","6/24/2018 7:30:00 AM","NA","0","LEMHIR","6/24/2018 1:20:00 PM","70","","1"
"384.1B7971B661","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","6/27/2018 7:09:00 AM","NA","0","LEMHIR","6/27/2018 11:23:00 AM","57","2.9","1"
"384.1B7971B661","Chinook","Wild Fish or Natural Production","Recapture","Trap or Weir","LLRTP","4/27/2019 7:21:57 AM","NA","0","LLRTP","4/27/2019 7:21:57 AM","104","16.4","1"
"384.1B7971B672","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","6/27/2018 7:09:00 AM","NA","0","LEMHIR","6/27/2018 11:23:00 AM","58","3.1","1"
