"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","Event Length mm","Event Weight g","CTH Count"
"384.1B7972F1DD","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","6/12/2020 5:29:00 AM","NA","0","LEMHIR","6/12/2020 10:10:00 AM","61","3.2","1"
"384.1B79730107","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/18/2019 5:23:00 AM","NA","0","LEMHIR","8/18/2019 12:55:00 PM","64","3.4","1"
"384.1B797302B1","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","6/22/2020 6:30:00 AM","NA","0","LEMHIR","6/22/2020 1:08:00 PM","64","2.9","1"
"384.1B79730530","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","6/12/2020 5:29:00 AM","NA","0","LEMHIR","6/12/2020 10:10:00 AM","66","3.1","1"
"384.1B79730656","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","6/23/2020 4:26:00 AM","NA","0","LEMHIR","6/23/2020 6:27:00 AM","64","2.7","1"
"384.1B797306AF","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","6/12/2020 10:23:00 AM","NA","0","LEMHIR","6/12/2020 12:40:00 PM","66","3.9","1"
"384.1B7973097D","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","6/12/2020 5:29:00 AM","NA","0","LEMHIR","6/12/2020 10:10:00 AM","58","2.1","1"
"384.1B797311A6","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/18/2019 5:23:00 AM","NA","0","LEMHIR","8/18/2019 12:55:00 PM","64","2.8","1"
"384.1B797313C4","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","6/23/2020 4:26:00 AM","NA","0","LEMHIR","6/23/2020 6:27:00 AM","65","2.4","1"
"384.1B79731958","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/18/2019 5:23:00 AM","NA","0","LEMHIR","8/18/2019 12:55:00 PM","63","2.2","1"
"384.1B79731958","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","HYC","8/22/2020 11:20:54 PM","02","130","","","","","1"
"384.1B79731958","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","HYC","8/22/2020 11:21:08 PM","01","130","","","","","1"
"384.1B79731958","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","HYC","8/29/2020 9:32:08 PM","04","130","","","","","1"
"384.1B79731958","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","HYC","8/29/2020 9:34:04 PM","02","130","","","","","1"
"384.1B79731F28","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/18/2019 5:23:00 AM","NA","0","LEMHIR","8/18/2019 12:55:00 PM","63","2.5","1"
"384.1B79731F30","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","6/23/2020 4:26:00 AM","NA","0","LEMHIR","6/23/2020 6:27:00 AM","64","4.4","1"
"384.1B79756A0C","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/18/2019 5:23:00 AM","NA","0","LEMHIR","8/18/2019 12:55:00 PM","63","3.3","1"
"384.1B79758D39","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/18/2019 5:23:00 AM","NA","0","LEMHIR","8/18/2019 12:55:00 PM","59","3.1","1"
"384.1B79758FD0","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/16/2019 4:20:00 AM","NA","0","LEMHIR","8/16/2019 9:32:00 AM","101","","1"
"384.1B79758FD0","Chinook","Wild Fish or Natural Production","Recapture","Trap or Weir","LLRTP","10/15/2019 8:36:59 AM","NA","0","LLRTP","10/15/2019 8:36:59 AM","110","15.8","1"
"384.1B7975903C","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/16/2019 4:20:00 AM","NA","0","LEMHIR","8/16/2019 9:32:00 AM","100","","1"
"384.1B79759251","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","6/23/2020 8:04:00 AM","NA","0","LEMHIR","6/23/2020 12:54:00 PM","67","","1"
"384.1B797593F6","Chinook","Wild Fish or Natural Production","Mark","River","BTIMBC","8/2/2019 8:31:00 AM","NA","0","BTIMBC","8/2/2019 2:08:00 PM","105","20.9","1"
"384.1B797593FE","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","6/23/2020 4:26:00 AM","NA","0","LEMHIR","6/23/2020 6:27:00 AM","65","2.8","1"
"384.1B7975993C","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","6/22/2020 6:30:00 AM","NA","0","LEMHIR","6/22/2020 1:08:00 PM","68","3","1"
"384.1B797599AD","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/19/2019 9:24:00 AM","NA","0","LEMHIR","8/19/2019 12:38:00 PM","64","","1"
"384.1B79759BAC","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/19/2019 9:24:00 AM","NA","0","LEMHIR","8/19/2019 12:38:00 PM","64","","1"
"384.1B79759DDF","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","6/23/2020 4:26:00 AM","NA","0","LEMHIR","6/23/2020 6:27:00 AM","63","4.7","1"
"384.1B79759DDF","Chinook","Wild Fish or Natural Production","Recapture","Trap or Weir","LEMTRP","9/28/2020 11:47:48 AM","NA","0","LEMHIW","9/28/2020 11:47:48 AM","102","12.7","1"
"384.1B79759E5B","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","6/23/2020 4:26:00 AM","NA","0","LEMHIR","6/23/2020 6:27:00 AM","66","5","1"
"384.1B79759E5B","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","EVL","5/1/2021 10:42:32 PM","06","100","","","","","1"
"384.1B79759E5B","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LLR","5/5/2021 9:23:45 PM","02","120","","","","","1"
