"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","Event Length mm","Event Weight g","CTH Count"
"3D9.1C2DEF937D","Chinook","Wild Fish or Natural Production","Mark","River","BTIMBC","8/1/2022 8:27:22 AM","NA","0","BTIMBC","8/1/2022 8:27:22 AM","145","45.2","1"
"3D9.1C2DEF937D","Chinook","Wild Fish or Natural Production","Recapture","River","BTIMBC","8/3/2022 7:19:42 AM","NA","0","BTIMBC","8/3/2022 7:19:42 AM","143","","1"
"3D9.1C2DEF9E4E","Chinook","Wild Fish or Natural Production","Mark","River","BTIMBC","8/1/2022 8:08:02 AM","NA","0","BTIMBC","8/1/2022 8:08:02 AM","145","39.3","1"
"3D9.1C2DEF9E4E","Chinook","Wild Fish or Natural Production","Recapture","River","BTIMBC","8/3/2022 7:16:45 AM","NA","0","BTIMBC","8/3/2022 7:16:45 AM","154","","1"
"3D9.1C2DF83284","Chinook","Wild Fish or Natural Production","Mark","River","BTIMBC","8/1/2022 8:06:14 AM","NA","0","BTIMBC","8/1/2022 8:06:14 AM","150","39.6","1"
"3D9.1C2DF83284","Chinook","Wild Fish or Natural Production","Recapture","River","BTIMBC","8/3/2022 7:14:48 AM","NA","0","BTIMBC","8/3/2022 7:14:48 AM","149","","1"
"3D9.1C2DF84038","Chinook","Wild Fish or Natural Production","Mark","River","BTIMBC","8/1/2022 8:04:57 AM","NA","0","BTIMBC","8/1/2022 8:04:57 AM","160","49.4","1"
"3D9.1C2DF84CB3","Chinook","Wild Fish or Natural Production","Mark","River","BTIMBC","8/1/2022 8:02:25 AM","NA","0","BTIMBC","8/1/2022 8:02:25 AM","180","88","1"
"3D9.1C2DF87EA1","Chinook","Wild Fish or Natural Production","Mark","River","BTIMBC","8/1/2022 8:05:36 AM","NA","0","BTIMBC","8/1/2022 8:05:36 AM","151","29","1"
"3DD.003E21450F","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/16/2022 9:20:23 AM","NA","0","HAYDNC","9/16/2022 9:20:23 AM","80","6.9","1"
"3DD.003E214516","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/16/2022 1:07:12 PM","NA","0","HAYDNC","9/16/2022 1:07:12 PM","77","5.3","1"
"3DD.003E21451E","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/16/2022 8:27:23 AM","NA","0","HAYDNC","9/16/2022 8:27:23 AM","82","6.5","1"
"3DD.003E214521","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/16/2022 1:06:46 PM","NA","0","HAYDNC","9/16/2022 1:06:46 PM","81","5.1","1"
"3DD.003E21452F","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/16/2022 8:27:10 AM","NA","0","HAYDNC","9/16/2022 8:27:10 AM","83","8","1"
"3DD.003E214537","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/16/2022 8:25:34 AM","NA","0","HAYDNC","9/16/2022 8:25:34 AM","83","7.3","1"
"3DD.003E21453E","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/16/2022 10:19:39 AM","NA","0","HAYDNC","9/16/2022 10:19:39 AM","81","6.7","1"
"3DD.003E214541","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/16/2022 8:26:51 AM","NA","0","HAYDNC","9/16/2022 8:26:51 AM","74","5.2","1"
"3DD.003E214548","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/16/2022 10:19:05 AM","NA","0","HAYDNC","9/16/2022 10:19:05 AM","85","7.4","1"
"3DD.003E21454C","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/16/2022 8:27:41 AM","NA","0","HAYDNC","9/16/2022 8:27:41 AM","78","","1"
"3DD.003E21455C","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/16/2022 1:06:07 PM","NA","0","HAYDNC","9/16/2022 1:06:07 PM","80","6.7","1"
"3DD.003E21455D","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/16/2022 10:19:19 AM","NA","0","HAYDNC","9/16/2022 10:19:19 AM","76","5.3","1"
"3DD.003E214561","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/16/2022 12:08:20 PM","NA","0","HAYDNC","9/16/2022 12:08:20 PM","80","7.2","1"
"3DD.003E214561","Chinook","Wild Fish or Natural Production","Recovery","River","HAYDNC","9/17/2022 8:05:09 AM","NA","0","","","","","1"
