"Tag Code","Mark Species Name","Event Type Name","Event Site Name","Event Site Code Value","Event Site Info Name","Event Site Info Code","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3D9.1BF0DE8704","Chinook","Mark","BTIMBC - Big Timber Creek, Lemhi River Basin","BTIMBC","Big Timber Creek, Lemhi River Basin","BTIMBC","8/6/2015 7:15:00 AM","NA","0","BTIMBC","8/6/2015 11:27:00 AM","1"
"3D9.1BF127C2B9","Chinook","Mark","BTIMBC - Big Timber Creek, Lemhi River Basin","BTIMBC","Big Timber Creek, Lemhi River Basin","BTIMBC","8/6/2015 7:15:00 AM","NA","0","BTIMBC","8/6/2015 11:27:00 AM","1"
"3D9.1BF127C4BF","Chinook","Mark","BTIMBC - Big Timber Creek, Lemhi River Basin","BTIMBC","Big Timber Creek, Lemhi River Basin","BTIMBC","8/6/2015 7:15:00 AM","NA","0","BTIMBC","8/6/2015 11:27:00 AM","1"
"3D9.1C2D56C487","Chinook","Mark","BTIMBC - Big Timber Creek, Lemhi River Basin","BTIMBC","Big Timber Creek, Lemhi River Basin","BTIMBC","8/6/2015 7:15:00 AM","NA","0","BTIMBC","8/6/2015 11:27:00 AM","1"
"3D9.1C2D56C487","Chinook","Observation","GRJ - Lower Granite Dam Juvenile","GRJ","Lower Granite Dam Juvenile","GRJ","5/15/2016 12:10:00 AM","A1","140","","","1"
"3D9.1C2D56C487","Chinook","Observation","GRJ - Lower Granite Dam Juvenile","GRJ","Lower Granite Dam Juvenile","GRJ","5/15/2016 12:10:00 AM","A2","140","","","1"
"3D9.1C2D56C487","Chinook","Observation","GRJ - Lower Granite Dam Juvenile","GRJ","Lower Granite Dam Juvenile","GRJ","5/15/2016 12:10:10 AM","C1","140","","","1"
"3D9.1C2D56C487","Chinook","Observation","GRJ - Lower Granite Dam Juvenile","GRJ","Lower Granite Dam Juvenile","GRJ","5/15/2016 12:10:11 AM","C2","140","","","1"
"3D9.1C2D56C487","Chinook","Observation","GRJ - Lower Granite Dam Juvenile","GRJ","Lower Granite Dam Juvenile","GRJ","5/15/2016 12:10:13 AM","91","140","","","1"
"3D9.1C2D56C487","Chinook","Observation","GRJ - Lower Granite Dam Juvenile","GRJ","Lower Granite Dam Juvenile","GRJ","5/15/2016 12:10:13 AM","92","140","","","1"
"3D9.1C2D56CA66","Chinook","Mark","BTIMBC - Big Timber Creek, Lemhi River Basin","BTIMBC","Big Timber Creek, Lemhi River Basin","BTIMBC","8/6/2015 7:15:00 AM","NA","0","BTIMBC","8/6/2015 11:27:00 AM","1"
"3D9.1C2D56CC12","Chinook","Mark","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","7/21/2015 8:00:00 AM","NA","0","LEMHIR","7/21/2015 10:00:00 AM","1"
"3D9.1C2D56CC12","Chinook","Recapture","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","7/22/2015 9:00:00 AM","NA","0","LEMHIR","7/22/2015 9:30:00 AM","1"
"3D9.1C2D56CD56","Chinook","Mark","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","7/22/2015 9:00:00 AM","NA","0","LEMHIR","7/22/2015 9:30:00 AM","1"
"3D9.1C2D56CE15","Chinook","Mark","BTIMBC - Big Timber Creek, Lemhi River Basin","BTIMBC","Big Timber Creek, Lemhi River Basin","BTIMBC","8/6/2015 7:15:00 AM","NA","0","BTIMBC","8/6/2015 11:27:00 AM","1"
"3D9.1C2D56CE15","Chinook","Observation","BTL - Lower Big Timber, Lemhi Basin","BTL","Lower Big Timber, Lemhi Basin","BTL","12/11/2015 6:14:40 AM","03","100","","","1"
"3D9.1C2D56D6A7","Chinook","Mark","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","7/21/2015 8:00:00 AM","NA","0","LEMHIR","7/21/2015 10:00:00 AM","1"
"3D9.1C2D56D6A7","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","12/29/2015 5:44:47 PM","A3","110","","","1"
"3D9.1C2D56D6A7","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","12/29/2015 5:44:57 PM","A6","110","","","1"
"3D9.1C2D56F9BA","Chinook","Mark","BTIMBC - Big Timber Creek, Lemhi River Basin","BTIMBC","Big Timber Creek, Lemhi River Basin","BTIMBC","8/6/2015 7:15:00 AM","NA","0","BTIMBC","8/6/2015 11:27:00 AM","1"
"3D9.1C2D56F9BA","Chinook","Observation","GOJ - Little Goose Dam Juvenile","GOJ","Little Goose Dam Juvenile","GOJ","4/16/2016 3:34:02 PM","01","150","","","1"
"3D9.1C2D56F9BA","Chinook","Observation","GOJ - Little Goose Dam Juvenile","GOJ","Little Goose Dam Juvenile","GOJ","4/16/2016 3:34:04 PM","02","150","","","1"
"3D9.1C2D56F9BA","Chinook","Observation","GOJ - Little Goose Dam Juvenile","GOJ","Little Goose Dam Juvenile","GOJ","4/16/2016 3:34:07 PM","03","150","","","1"
"3D9.1C2D56F9BA","Chinook","Observation","GOJ - Little Goose Dam Juvenile","GOJ","Little Goose Dam Juvenile","GOJ","4/16/2016 3:34:09 PM","04","150","","","1"
"3D9.1C2D56F9BA","Chinook","Observation","GOJ - Little Goose Dam Juvenile","GOJ","Little Goose Dam Juvenile","GOJ","4/18/2016 5:02:52 AM","A1","150","","","1"
