"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","Event Length mm","Event Weight g","CTH Count"
"384.1B79759AC9","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/22/2020 6:34:00 AM","NA","0","HAYDNC","9/22/2020 1:12:00 PM","87","8","1"
"384.1B79759AC9","Chinook","Wild Fish or Natural Production","Recapture","River","HAYDNC","9/23/2020 6:30:00 AM","NA","0","HAYDNC","9/23/2020 10:12:00 AM","87","","1"
"3D9.1C2DEEBC98","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/20/2020 6:51:00 AM","NA","0","HAYDNC","9/20/2020 2:01:00 PM","84","7.2","1"
"3D9.1C2DEEBC98","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","EVU","10/30/2020 1:23:31 AM","06","100","","","","","1"
"3D9.1C2DEEBCD7","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/20/2020 6:51:00 AM","NA","0","HAYDNC","9/20/2020 2:01:00 PM","89","9","1"
"3D9.1C2DEEBCD7","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","HYC","5/15/2021 8:13:10 PM","04","130","","","","","1"
"3D9.1C2DEEBCD7","Chinook","Wild Fish or Natural Production","Recapture","Trap or Weir","HYDTRP","5/15/2021 11:35:44 AM","NA","0","HYDTRP","5/15/2021 11:35:44 AM","102","12.2","1"
"3D9.1C2DEEBD0A","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/20/2020 6:51:00 AM","NA","0","HAYDNC","9/20/2020 2:01:00 PM","72","6.1","1"
"3D9.1C2DEEBD0A","Chinook","Wild Fish or Natural Production","Recovery","River","HAYDNC","9/21/2020 1:20:00 PM","NA","0","","","75","","1"
"3D9.1C2DEEC3CC","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/23/2020 7:59:00 AM","NA","0","LEMHIR","8/23/2020 12:02:00 PM","105","16.5","1"
"3D9.1C2DEEC3CC","Chinook","Wild Fish or Natural Production","Observation","Spillway","GRS","4/30/2021 10:00:08 PM","01","100","","","","","1"
"3D9.1C2DEEC427","Chinook","Wild Fish or Natural Production","Mark","River","BTIMBC","8/9/2020 5:24:00 AM","NA","0","BTIMBC","8/9/2020 11:35:00 AM","102","","1"
"3D9.1C2DEEC428","Chinook","Wild Fish or Natural Production","Mark","River","BTIMBC","8/8/2020 5:38:00 AM","NA","0","BTIMBC","8/8/2020 9:16:00 AM","85","8.3","1"
"3D9.1C2DEEC428","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/20/2021 8:39:30 PM","01","170","","","","","1"
"3D9.1C2DEEC428","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/20/2021 8:39:33 PM","02","170","","","","","1"
"3D9.1C2DEEC428","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/20/2021 8:39:35 PM","03","170","","","","","1"
"3D9.1C2DEEC428","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/20/2021 8:39:36 PM","03","170","","","","","1"
"3D9.1C2DEEC428","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/20/2021 8:39:39 PM","04","170","","","","","1"
"3D9.1C2DEEC428","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/20/2021 8:40:26 PM","B1","170","","","","","1"
"3D9.1C2DEEC428","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/20/2021 8:40:26 PM","B2","170","","","","","1"
"3D9.1C2DEEC428","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/20/2021 8:40:27 PM","B3","170","","","","","1"
"3D9.1C2DEEC428","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/20/2021 8:40:27 PM","B4","170","","","","","1"
"3D9.1C2DEEC428","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/20/2021 8:40:41 PM","D1","170","","","","","1"
"3D9.1C2DEEC428","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/20/2021 8:40:41 PM","D2","170","","","","","1"
"3D9.1C2DEEC428","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/20/2021 8:40:42 PM","D3","170","","","","","1"
"3D9.1C2DEEC428","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/20/2021 8:40:42 PM","D4","170","","","","","1"
"3D9.1C2DEEC428","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/20/2021 8:41:10 PM","81","170","","","","","1"
"3D9.1C2DEEC428","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/20/2021 8:41:11 PM","83","170","","","","","1"
"3D9.1C2DEEC428","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/20/2021 8:41:12 PM","84","170","","","","","1"
"3D9.1C2DEEC428","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/20/2021 8:41:13 PM","85","170","","","","","1"
"3D9.1C2DEEC428","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/20/2021 8:41:13 PM","86","170","","","","","1"
"3D9.1C2DEEC428","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","BTL","10/27/2020 12:06:01 AM","02","110","","","","","1"
"3D9.1C2DEEC428","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LLR","5/7/2021 12:30:24 AM","04","120","","","","","1"
"3D9.1C2DEEC431","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/19/2020 6:15:00 AM","NA","0","HAYDNC","9/19/2020 10:27:00 AM","87","","1"
"3D9.1C2DEEC47B","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/18/2020 9:38:00 AM","NA","0","HAYDNC","9/18/2020 12:56:00 PM","94","","1"
"3D9.1C2DEEC47B","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","EVU","1/6/2021 10:04:23 PM","03","100","","","","","1"
"3D9.1C2DEEC47B","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","HYC","10/12/2020 8:44:14 PM","01","130","","","","","1"
"3D9.1C2DEEC480","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/22/2020 8:31:00 AM","NA","0","LEMHIR","8/22/2020 11:09:00 AM","85","","1"
"3D9.1C2DEEC482","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/21/2020 6:17:00 AM","NA","0","HAYDNC","9/21/2020 1:20:00 PM","74","","1"
"3D9.1C2DEEC492","Chinook","Wild Fish or Natural Production","Mark","River","BTIMBC","8/9/2020 5:24:00 AM","NA","0","BTIMBC","8/9/2020 11:35:00 AM","82","","1"
"3D9.1C2DEEC492","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","BTL","10/23/2020 5:54:55 PM","02","110","","","","","1"
"3D9.1C2DEEC4A2","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/22/2020 8:31:00 AM","NA","0","LEMHIR","8/22/2020 11:09:00 AM","102","","1"
"3D9.1C2DEEC537","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/22/2020 8:31:00 AM","NA","0","LEMHIR","8/22/2020 11:09:00 AM","73","","1"
"3D9.1C2DEEC537","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LLR","11/10/2020 8:42:18 PM","06","120","","","","","1"
"3D9.1C2DEEC539","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/17/2020 6:31:00 AM","NA","0","HAYDNC","9/17/2020 1:44:00 PM","95","8.7","1"
"3D9.1C2DEEC539","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","EVU","1/30/2021 6:58:02 PM","02","100","","","","","1"
"3D9.1C2DEEC539","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","EVU","1/30/2021 6:58:17 PM","05","100","","","","","1"
"3D9.1C2DEEC539","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LLR","2/3/2021 9:34:43 AM","04","120","","","","","1"
"3D9.1C2DEEC53F","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/21/2020 6:17:00 AM","NA","0","HAYDNC","9/21/2020 1:20:00 PM","82","","1"
"3D9.1C2DEEC53F","Chinook","Wild Fish or Natural Production","Recapture","Trap or Weir","HYDTRP","10/29/2020 6:49:35 AM","NA","0","HYDTRP","10/29/2020 6:49:35 AM","83","7.1","1"
"3D9.1C2DEEC599","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/20/2020 5:25:00 AM","NA","0","LEMHIR","8/20/2020 1:26:00 PM","109","18.8","1"
"3D9.1C2DEEC599","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","EVU","10/11/2020 10:49:14 PM","02","100","","","","","1"
"3D9.1C2DEEC599","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","EVU","10/11/2020 10:49:27 PM","05","100","","","","","1"
"3D9.1C2DEEC599","Chinook","Wild Fish or Natural Production","Recapture","Trap or Weir","LLRTP","10/22/2020 4:27:54 AM","NA","0","LLRTP","10/22/2020 4:27:54 AM","116","19.1","1"
"3D9.1C2DEEC59C","Chinook","Wild Fish or Natural Production","Mark","River","LLSPRC","9/11/2020 7:12:00 AM","NA","0","LLSPRC","9/11/2020 12:31:00 PM","105","15.8","1"
"3D9.1C2DEEC59C","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LLR","11/15/2020 6:04:08 AM","05","120","","","","","1"
"3D9.1C2DEEC59C","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LRW","10/16/2020 1:24:38 AM","A3","110","","","","","1"
"3D9.1C2DEEC59C","Chinook","Wild Fish or Natural Production","Recapture","River","LLSPRC","9/13/2020 6:40:00 AM","NA","0","LLSPRC","9/13/2020 10:15:00 AM","105","","1"
"3D9.1C2DEEC5DC","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/21/2020 6:17:00 AM","NA","0","HAYDNC","9/21/2020 1:20:00 PM","82","","1"
"3D9.1C2DEECE71","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/20/2020 6:51:00 AM","NA","0","HAYDNC","9/20/2020 2:01:00 PM","90","9.1","1"
"3D9.1C2DEECE74","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/23/2020 2:59:00 AM","NA","0","LEMHIR","8/23/2020 6:30:00 AM","101","14.2","1"
"3D9.1C2DEECEE5","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/23/2020 10:55:00 AM","NA","0","HAYDNC","9/23/2020 2:19:00 PM","81","6.4","1"
"3D9.1C2DEECEE5","Chinook","Wild Fish or Natural Production","Recapture","River","HAYDNC","9/24/2020 8:24:00 AM","NA","0","HAYDNC","9/24/2020 11:56:00 AM","76","","1"
"3D9.1C2DEECEE6","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/17/2020 6:31:00 AM","NA","0","HAYDNC","9/17/2020 1:44:00 PM","98","11.6","1"
"3D9.1C2DEECEE6","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","EVU","12/17/2020 6:59:52 PM","01","100","","","","","1"
"3D9.1C2DEECEE6","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","HYC","11/15/2020 5:34:41 PM","01","130","","","","","1"
"3D9.1C2DEECEE6","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LLR","1/31/2021 8:00:17 PM","04","120","","","","","1"
"3D9.1C2DEECEEC","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/18/2020 9:38:00 AM","NA","0","HAYDNC","9/18/2020 12:56:00 PM","97","","1"
"3D9.1C2DEECEEC","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","EVU","10/26/2020 11:14:33 PM","05","100","","","","","1"
"3D9.1C2DEECEF4","Chinook","Wild Fish or Natural Production","Mark","River","BTIMBC","8/8/2020 10:02:00 AM","NA","0","BTIMBC","8/8/2020 1:40:00 PM","89","9.2","1"
"3D9.1C2DEECEF4","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","BTL","8/24/2021 5:21:32 PM","01","110","","","","","1"
"3D9.1C2DEECEF4","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","BTL","8/24/2021 5:21:33 PM","01","110","","","","","1"
"3D9.1C2DEECEF4","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","BTL","8/24/2021 5:39:49 PM","02","110","","","","","1"
