"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","Event Length mm","Event Weight g","CTH Count"
"384.3B2399D763","Chinook","Wild Fish or Natural Production","Mark","River","BTIMBC","3/7/2013 1:30:00 PM","NA","0","BTIMBC","3/7/2013 3:30:00 PM","112","17","1"
"384.3B2399D763","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LRW","4/24/2013 12:16:53 AM","A3","110","","","","","1"
"384.3B239A524D","Chinook","Wild Fish or Natural Production","Mark","River","BTIMBC","3/7/2013 1:30:00 PM","NA","0","BTIMBC","3/7/2013 3:30:00 PM","102","11.5","1"
"384.3B239A524D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","5/17/2013 10:00:16 PM","B1","140","","","","","1"
"384.3B239A524D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","5/17/2013 10:00:16 PM","B2","140","","","","","1"
"384.3B239A524D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","5/17/2013 10:01:37 PM","C1","140","","","","","1"
"384.3B239A524D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","5/17/2013 10:01:38 PM","C2","140","","","","","1"
"384.3B239A524D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","5/17/2013 10:01:39 PM","91","140","","","","","1"
"384.3B239A524D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","5/17/2013 10:01:40 PM","92","140","","","","","1"
"384.3B239A524D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","LMJ","5/23/2013 6:49:07 PM","01","150","","","","","1"
"384.3B239A524D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","LMJ","5/23/2013 6:49:09 PM","02","150","","","","","1"
"384.3B239A524D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","LMJ","5/23/2013 6:49:11 PM","03","150","","","","","1"
"384.3B239A524D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","LMJ","5/23/2013 6:49:12 PM","04","150","","","","","1"
"384.3B239A524D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","LMJ","5/23/2013 8:17:17 PM","A1","150","","","","","1"
"384.3B239A524D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","LMJ","5/23/2013 8:17:18 PM","A2","150","","","","","1"
"384.3B239A524D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","LMJ","5/23/2013 8:17:18 PM","A3","150","","","","","1"
"384.3B239A524D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","LMJ","5/23/2013 8:17:18 PM","A4","150","","","","","1"
"384.3B239A524D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","LMJ","5/23/2013 8:17:22 PM","31","150","","","","","1"
"384.3B239A524D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","LMJ","5/23/2013 8:17:22 PM","32","150","","","","","1"
"384.3B239A524D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","LMJ","5/23/2013 8:17:24 PM","33","150","","","","","1"
"384.3B239A524D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","LMJ","5/24/2013 2:50:27 AM","91","150","","","","","1"
"384.3B239A524D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","LMJ","5/24/2013 2:50:27 AM","92","150","","","","","1"
"384.3B239A524D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","LMJ","5/24/2013 2:50:27 AM","93","150","","","","","1"
