"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","Event Length mm","Event Weight g","CTH Count"
"3D9.1BF2018427","Chinook","Wild Fish or Natural Production","Mark","River","LLSPRC","6/22/2015 6:58:00 AM","NA","0","LLSPRC","6/22/2015 3:20:00 PM","92","9.8","1"
"3D9.1BF201EE2B","Chinook","Wild Fish or Natural Production","Mark","River","LLSPRC","6/22/2015 6:58:00 AM","NA","0","LLSPRC","6/22/2015 3:20:00 PM","89","9.4","1"
"3D9.1BF201EE2B","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/18/2016 1:11:13 AM","01","150","","","","","1"
"3D9.1BF201EE2B","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/18/2016 1:11:15 AM","02","150","","","","","1"
"3D9.1BF201EE2B","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/18/2016 1:11:18 AM","03","150","","","","","1"
"3D9.1BF201EE2B","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/18/2016 1:11:21 AM","04","150","","","","","1"
"3D9.1BF201EE2B","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/18/2016 1:26:35 AM","B1","150","","","","","1"
"3D9.1BF201EE2B","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/18/2016 1:26:35 AM","B2","150","","","","","1"
"3D9.1BF201EE2B","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/18/2016 1:26:35 AM","B3","150","","","","","1"
"3D9.1BF201EE2B","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/18/2016 1:26:36 AM","B4","150","","","","","1"
"3D9.1BF201EE2B","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/18/2016 1:26:47 AM","C1","150","","","","","1"
"3D9.1BF201EE2B","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/18/2016 1:26:47 AM","C2","150","","","","","1"
"3D9.1BF201EE2B","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/18/2016 1:26:48 AM","C3","150","","","","","1"
"3D9.1BF201EE2B","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/18/2016 1:26:48 AM","C4","150","","","","","1"
"3D9.1BF201EE2B","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/18/2016 1:26:51 AM","91","150","","","","","1"
"3D9.1BF201EE2B","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/18/2016 1:26:51 AM","92","150","","","","","1"
"3D9.1BF201EE2B","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/18/2016 1:26:51 AM","93","150","","","","","1"
"3D9.1BF201EE2B","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","4/26/2016 8:29:21 PM","01","160","","","","","1"
"3D9.1BF201EE2B","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","4/26/2016 8:29:23 PM","02","160","","","","","1"
"3D9.1BF201EE2B","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","4/26/2016 8:29:26 PM","03","160","","","","","1"
"3D9.1BF201EE2B","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","4/26/2016 8:29:28 PM","04","160","","","","","1"
"3D9.1BF201EE2B","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LLS","2/23/2016 6:11:38 PM","A1","100","","","","","1"
"3D9.1C2DE35C51","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/18/2014 6:24:00 AM","NA","0","HAYDNC","9/18/2014 5:00:00 PM","81","5.6","1"
"3D9.1C2DE3638B","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/20/2014 8:07:00 AM","NA","0","LEMHIR","8/20/2014 12:25:00 PM","76","5.5","1"
"3D9.1C2DE3663D","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/20/2014 8:07:00 AM","NA","0","LEMHIR","8/20/2014 12:25:00 PM","83","6.5","1"
"3D9.1C2DE36AE7","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/18/2014 6:24:00 AM","NA","0","HAYDNC","9/18/2014 5:00:00 PM","85","8.6","1"
"3D9.1C2DE36AE7","Chinook","Wild Fish or Natural Production","Recapture","River","HAYDNC","9/22/2014 6:31:00 AM","NA","0","HAYDNC","9/22/2014 3:41:00 PM","","","1"
"3D9.1C2DE36E2F","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/18/2014 6:24:00 AM","NA","0","HAYDNC","9/18/2014 5:00:00 PM","83","7.3","1"
"3D9.1C2DE37065","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/20/2014 8:07:00 AM","NA","0","LEMHIR","8/20/2014 12:25:00 PM","78","5.9","1"
"3D9.1C2DE38A48","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/20/2014 8:07:00 AM","NA","0","LEMHIR","8/20/2014 12:25:00 PM","80","7.8","1"
"3D9.1C2DE38F4A","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/20/2014 8:07:00 AM","NA","0","LEMHIR","8/20/2014 12:25:00 PM","85","7.3","1"
"3D9.1C2DE38F4A","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","4/29/2015 3:50:54 PM","01","170","","","","","1"
"3D9.1C2DE38F4A","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","4/29/2015 3:50:58 PM","02","170","","","","","1"
"3D9.1C2DE38F4A","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","4/29/2015 3:51:00 PM","03","170","","","","","1"
"3D9.1C2DE38F4A","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","4/29/2015 3:51:03 PM","04","170","","","","","1"
"3D9.1C2DE38F75","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/22/2014 7:46:00 AM","NA","0","LEMHIR","8/22/2014 2:58:00 PM","109","","1"
"3D9.1C2DE38F75","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/25/2015 1:50:34 PM","B1","140","","","","","1"
"3D9.1C2DE38F75","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/25/2015 1:50:35 PM","B2","140","","","","","1"
"3D9.1C2DE38F75","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/25/2015 1:50:48 PM","C1","140","","","","","1"
"3D9.1C2DE38F75","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/25/2015 1:50:48 PM","C2","140","","","","","1"
"3D9.1C2DE38F75","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/25/2015 1:50:50 PM","91","140","","","","","1"
"3D9.1C2DE38F75","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/25/2015 1:50:50 PM","92","140","","","","","1"
"3D9.1C2DE38F75","Chinook","Wild Fish or Natural Production","Observation","Trawl Net","TWX","5/9/2015 12:13:27 AM","C5","170","","","","","1"
"3D9.1C2DE38F75","Chinook","Wild Fish or Natural Production","Observation","Trawl Net","TWX","5/9/2015 12:13:56 AM","C6","170","","","","","1"
"3D9.1C2DE38F75","Chinook","Wild Fish or Natural Production","Observation","Trawl Net","TWX","5/9/2015 12:13:57 AM","C3","170","","","","","1"
"3D9.1C2DE395B2","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/18/2014 6:24:00 AM","NA","0","HAYDNC","9/18/2014 5:00:00 PM","86","7.4","1"
"3D9.1C2DE395B2","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","HYC","9/18/2014 11:32:52 PM","A3","120","","","","","1"
"3D9.1C2DE395B2","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","HYC","9/18/2014 11:33:15 PM","A6","120","","","","","1"
"3D9.1C2DE397F2","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/24/2014 7:53:00 AM","NA","0","LEMHIR","8/24/2014 2:26:00 PM","103","14","1"
"3D9.1C2DE398A4","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/21/2014 9:09:00 AM","NA","0","LEMHIR","8/21/2014 4:13:00 PM","100","14.1","1"
"3D9.1C2DE3A097","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/20/2014 8:07:00 AM","NA","0","LEMHIR","8/20/2014 12:25:00 PM","89","9.8","1"
"3D9.1C2DE3A2A8","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/22/2014 7:46:00 AM","NA","0","LEMHIR","8/22/2014 2:58:00 PM","109","","1"
"3D9.1C2DE3BC17","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/22/2014 7:46:00 AM","NA","0","LEMHIR","8/22/2014 2:58:00 PM","112","19.4","1"
"3D9.1C2DE3BC17","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/7/2015 12:28:28 PM","01","160","","","","","1"
"3D9.1C2DE3BC17","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/7/2015 12:28:31 PM","02","160","","","","","1"
"3D9.1C2DE3BC17","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/7/2015 12:28:33 PM","03","160","","","","","1"
"3D9.1C2DE3BC17","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/7/2015 12:28:35 PM","04","160","","","","","1"
"3D9.1C2DE3BC17","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/7/2015 12:29:35 PM","A1","160","","","","","1"
"3D9.1C2DE3BC17","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/7/2015 12:29:36 PM","A2","160","","","","","1"
"3D9.1C2DE3BC17","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/7/2015 12:29:36 PM","A3","160","","","","","1"
"3D9.1C2DE3BC17","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/7/2015 12:29:37 PM","A4","160","","","","","1"
