"Tag Code","Mark Species Name","Event Type Name","Event Site Name","Event Site Code Value","Event Site Info Name","Event Site Info Code","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3D9.1C2D758E14","Chinook","Mark","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","8/28/2011 7:30:00 PM","NA","0","LEMHIR","8/28/2011 11:44:00 PM","1"
"3D9.1C2D7593E1","Chinook","Mark","HAYDNC - Hayden Creek, Lemhi River Basin","HAYDNC","Hayden Creek, Lemhi River Basin","HAYDNC","8/16/2011 5:25:00 PM","NA","0","HAYDNC","8/16/2011 7:41:00 PM","1"
"3D9.1C2D7593F8","Chinook","Mark","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","8/28/2011 7:30:00 PM","NA","0","LEMHIR","8/28/2011 11:44:00 PM","1"
"3D9.1C2D75947C","Chinook","Mark","HAYDNC - Hayden Creek, Lemhi River Basin","HAYDNC","Hayden Creek, Lemhi River Basin","HAYDNC","8/16/2011 5:25:00 PM","NA","0","HAYDNC","8/16/2011 7:41:00 PM","1"
"3D9.1C2D75947C","Chinook","Observation","HYC - Hayden Creek In-stream Array","HYC","Hayden Creek In-stream Array","HYC","9/28/2011 8:03:39 PM","A1","110","","","1"
"3D9.1C2D75947C","Chinook","Observation","HYC - Hayden Creek In-stream Array","HYC","Hayden Creek In-stream Array","HYC","9/28/2011 8:03:54 PM","A4","110","","","1"
"3D9.1C2D75961A","Chinook","Mark","HAYDNC - Hayden Creek, Lemhi River Basin","HAYDNC","Hayden Creek, Lemhi River Basin","HAYDNC","8/27/2011 7:24:00 PM","NA","0","HAYDNC","8/27/2011 10:07:00 PM","1"
"3D9.1C2D75961A","Chinook","Recapture","HAYDNC - Hayden Creek, Lemhi River Basin","HAYDNC","Hayden Creek, Lemhi River Basin","HAYDNC","10/17/2011 3:30:00 AM","NA","0","HAYDNC","10/17/2011 4:45:00 AM","1"
"3D9.1C2D7597C7","Chinook","Mark","HAYDNC - Hayden Creek, Lemhi River Basin","HAYDNC","Hayden Creek, Lemhi River Basin","HAYDNC","8/26/2011 7:17:00 PM","NA","0","HAYDNC","8/26/2011 9:46:00 PM","1"
"3D9.1C2D7597F9","Chinook","Mark","HAYDNC - Hayden Creek, Lemhi River Basin","HAYDNC","Hayden Creek, Lemhi River Basin","HAYDNC","8/26/2011 7:17:00 PM","NA","0","HAYDNC","8/26/2011 9:46:00 PM","1"
"3D9.1C2D7597F9","Chinook","Recapture","HAYDNC - Hayden Creek, Lemhi River Basin","HAYDNC","Hayden Creek, Lemhi River Basin","HAYDNC","8/27/2011 7:24:00 PM","NA","0","HAYDNC","8/27/2011 10:07:00 PM","1"
"3D9.1C2D759883","Chinook","Mark","BIGSPC - Big Springs Creek, Lemhi River Basin","BIGSPC","Big Springs Creek, Lemhi River Basin","BIGSPC","8/15/2011 4:10:00 PM","NA","0","BIGSPC","8/15/2011 5:30:00 PM","1"
"3D9.1C2D759DAD","Chinook","Mark","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","9/8/2011 6:14:00 PM","NA","0","LEMHIR","9/8/2011 8:15:00 PM","1"
"3D9.1C2D75B0A6","Chinook","Mark","HAYDNC - Hayden Creek, Lemhi River Basin","HAYDNC","Hayden Creek, Lemhi River Basin","HAYDNC","8/26/2011 7:17:00 PM","NA","0","HAYDNC","8/26/2011 9:46:00 PM","1"
"3D9.1C2D75B0A6","Chinook","Observation","HYC - Hayden Creek In-stream Array","HYC","Hayden Creek In-stream Array","HYC","11/11/2011 1:33:44 AM","A4","120","","","1"
"3D9.1C2D75B0A6","Chinook","Recapture","HAYDNC - Hayden Creek, Lemhi River Basin","HAYDNC","Hayden Creek, Lemhi River Basin","HAYDNC","8/27/2011 7:24:00 PM","NA","0","HAYDNC","8/27/2011 10:07:00 PM","1"
"3D9.1C2D75BCE0","Chinook","Mark","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","8/29/2011 6:00:00 PM","NA","0","LEMHIR","8/29/2011 8:50:00 PM","1"
"3D9.1C2D75BCE0","Chinook","Observation","GRJ - Lower Granite Dam Juvenile","GRJ","Lower Granite Dam Juvenile","GRJ","5/10/2012 9:01:20 PM","A1","140","","","1"
"3D9.1C2D75BCE0","Chinook","Observation","GRJ - Lower Granite Dam Juvenile","GRJ","Lower Granite Dam Juvenile","GRJ","5/10/2012 9:01:20 PM","A2","140","","","1"
"3D9.1C2D75BCE0","Chinook","Observation","GRJ - Lower Granite Dam Juvenile","GRJ","Lower Granite Dam Juvenile","GRJ","5/10/2012 9:01:29 PM","C1","140","","","1"
"3D9.1C2D75BCE0","Chinook","Observation","GRJ - Lower Granite Dam Juvenile","GRJ","Lower Granite Dam Juvenile","GRJ","5/10/2012 9:01:30 PM","C2","140","","","1"
"3D9.1C2D75BCE0","Chinook","Observation","GRJ - Lower Granite Dam Juvenile","GRJ","Lower Granite Dam Juvenile","GRJ","5/10/2012 9:01:32 PM","91","140","","","1"
"3D9.1C2D75BF7E","Chinook","Mark","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","7/28/2011 9:30:00 PM","NA","0","LEMHIR","7/29/2011 5:45:00 AM","1"
"3D9.1C2D75BF7E","Chinook","Recapture","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","7/30/2011 4:50:00 PM","NA","0","LEMHIR","7/30/2011 7:48:00 PM","1"
"3D9.1C2D75C9A3","Chinook","Mark","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","9/8/2011 6:14:00 PM","NA","0","LEMHIR","9/8/2011 8:15:00 PM","1"
"3D9.1C2D75CF4A","Chinook","Mark","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","9/12/2011 6:48:00 PM","NA","0","LEMHIR","9/12/2011 9:30:00 PM","1"
"3D9.1C2D75CF4A","Chinook","Recapture","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","9/13/2011 6:59:00 PM","NA","0","LEMHIR","9/13/2011 8:25:00 PM","1"
"3D9.1C2D75E3A8","Chinook","Mark","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","9/12/2011 6:48:00 PM","NA","0","LEMHIR","9/12/2011 9:30:00 PM","1"
"3D9.1C2D75E992","Chinook","Mark","HAYDNC - Hayden Creek, Lemhi River Basin","HAYDNC","Hayden Creek, Lemhi River Basin","HAYDNC","8/26/2011 7:17:00 PM","NA","0","HAYDNC","8/26/2011 9:46:00 PM","1"
"3D9.1C2D75E992","Chinook","Observation","HYC - Hayden Creek In-stream Array","HYC","Hayden Creek In-stream Array","HYC","8/27/2011 9:14:49 PM","A1","100","","","1"
"3D9.1C2D75E992","Chinook","Observation","HYC - Hayden Creek In-stream Array","HYC","Hayden Creek In-stream Array","HYC","8/29/2011 10:20:17 AM","A2","100","","","1"
"3D9.1C2D75E992","Chinook","Observation","HYC - Hayden Creek In-stream Array","HYC","Hayden Creek In-stream Array","HYC","10/24/2011 6:39:06 PM","A4","110","","","1"
"3D9.1C2D75E992","Chinook","Recapture","HAYDNC - Hayden Creek, Lemhi River Basin","HAYDNC","Hayden Creek, Lemhi River Basin","HAYDNC","8/27/2011 7:24:00 PM","NA","0","HAYDNC","8/27/2011 10:07:00 PM","1"
"3D9.1C2D75F16D","Chinook","Mark","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","9/12/2011 6:48:00 PM","NA","0","LEMHIR","9/12/2011 9:30:00 PM","1"
"3D9.1C2D75F16D","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","12/19/2011 10:01:28 PM","A3","110","","","1"
"3D9.1C2D75F16D","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","12/19/2011 10:01:36 PM","A6","110","","","1"
"3D9.1C2D75F36D","Chinook","Mark","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","8/25/2011 7:08:00 PM","NA","0","LEMHIR","8/25/2011 9:20:00 PM","1"
"3D9.1C2D75FA4E","Chinook","Mark","HAYDNC - Hayden Creek, Lemhi River Basin","HAYDNC","Hayden Creek, Lemhi River Basin","HAYDNC","8/26/2011 7:17:00 PM","NA","0","HAYDNC","8/26/2011 9:46:00 PM","1"
"3D9.1C2D75FA4E","Chinook","Recapture","HAYDNC - Hayden Creek, Lemhi River Basin","HAYDNC","Hayden Creek, Lemhi River Basin","HAYDNC","8/27/2011 7:24:00 PM","NA","0","HAYDNC","8/27/2011 10:07:00 PM","1"
"3D9.1C2D760092","Chinook","Mark","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","9/12/2011 6:48:00 PM","NA","0","LEMHIR","9/12/2011 9:30:00 PM","1"
"3D9.1C2D760092","Chinook","Observation","LRW - Lemhi River Weir","LRW","Lemhi River Weir","LRW","11/11/2011 6:05:02 PM","A3","110","","","1"
"3D9.1C2D76089A","Chinook","Mark","HAYDNC - Hayden Creek, Lemhi River Basin","HAYDNC","Hayden Creek, Lemhi River Basin","HAYDNC","8/16/2011 5:25:00 PM","NA","0","HAYDNC","8/16/2011 7:41:00 PM","1"
"3D9.1C2D76089A","Chinook","Observation","HYC - Hayden Creek In-stream Array","HYC","Hayden Creek In-stream Array","HYC","11/3/2011 12:12:35 AM","A3","120","","","1"
"3D9.1C2D76089A","Chinook","Observation","HYC - Hayden Creek In-stream Array","HYC","Hayden Creek In-stream Array","HYC","11/3/2011 12:12:50 AM","A5","120","","","1"
"3D9.1C2D76187D","Chinook","Mark","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","8/28/2011 7:30:00 PM","NA","0","LEMHIR","8/28/2011 11:44:00 PM","1"
"3D9.1C2D76187D","Chinook","Recapture","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","8/29/2011 6:00:00 PM","NA","0","LEMHIR","8/29/2011 8:50:00 PM","1"
"3D9.1C2D761884","Chinook","Mark","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","9/8/2011 6:14:00 PM","NA","0","LEMHIR","9/8/2011 8:15:00 PM","1"
"3D9.1C2D761884","Chinook","Observation","ICH - Ice Harbor Dam (Combined)","ICH","Ice Harbor Dam (Combined)","ICH","4/27/2012 3:49:36 AM","A1","100","","","1"
"3D9.1C2D761884","Chinook","Observation","ICH - Ice Harbor Dam (Combined)","ICH","Ice Harbor Dam (Combined)","ICH","4/27/2012 3:49:38 AM","A2","100","","","1"
"3D9.1C2D761884","Chinook","Observation","ICH - Ice Harbor Dam (Combined)","ICH","Ice Harbor Dam (Combined)","ICH","4/27/2012 3:49:41 AM","A3","100","","","1"
"3D9.1C2D761884","Chinook","Observation","ICH - Ice Harbor Dam (Combined)","ICH","Ice Harbor Dam (Combined)","ICH","4/27/2012 3:49:43 AM","A4","100","","","1"
"3D9.1C2D761884","Chinook","Observation","LMJ - Lower Monumental Dam Juvenile","LMJ","Lower Monumental Dam Juvenile","LMJ","4/26/2012 6:00:46 AM","01","150","","","1"
"3D9.1C2D761884","Chinook","Observation","LMJ - Lower Monumental Dam Juvenile","LMJ","Lower Monumental Dam Juvenile","LMJ","4/26/2012 6:00:48 AM","02","150","","","1"
"3D9.1C2D761884","Chinook","Observation","LMJ - Lower Monumental Dam Juvenile","LMJ","Lower Monumental Dam Juvenile","LMJ","4/26/2012 6:00:51 AM","03","150","","","1"
"3D9.1C2D761884","Chinook","Observation","LMJ - Lower Monumental Dam Juvenile","LMJ","Lower Monumental Dam Juvenile","LMJ","4/26/2012 6:00:53 AM","04","150","","","1"
"3D9.1C2D761884","Chinook","Observation","SAJ - Salmon River Trap","SAJ","Salmon River Trap","SAJ","4/12/2012 10:03:21 AM","D8","110","","","1"
"3D9.1C2D76322A","Chinook","Mark","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","7/30/2011 4:50:00 PM","NA","0","LEMHIR","7/30/2011 7:48:00 PM","1"
"3D9.1C2D763558","Chinook","Mark","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","8/24/2011 2:00:00 PM","NA","0","LEMHIR","8/24/2011 10:45:00 PM","1"
"3D9.1C2D76397D","Chinook","Mark","HAYDNC - Hayden Creek, Lemhi River Basin","HAYDNC","Hayden Creek, Lemhi River Basin","HAYDNC","8/27/2011 7:24:00 PM","NA","0","HAYDNC","8/27/2011 10:07:00 PM","1"
"3D9.1C2D76397D","Chinook","Observation","B2J - Bonneville PH2 Juvenile","B2J","Bonneville PH2 Juvenile","B2J","5/10/2012 8:32:43 PM","01","150","","","1"
"3D9.1C2D76397D","Chinook","Observation","B2J - Bonneville PH2 Juvenile","B2J","Bonneville PH2 Juvenile","B2J","5/10/2012 8:32:47 PM","02","150","","","1"
"3D9.1C2D76397D","Chinook","Observation","B2J - Bonneville PH2 Juvenile","B2J","Bonneville PH2 Juvenile","B2J","5/10/2012 8:32:51 PM","03","150","","","1"
"3D9.1C2D76397D","Chinook","Observation","B2J - Bonneville PH2 Juvenile","B2J","Bonneville PH2 Juvenile","B2J","5/10/2012 8:32:55 PM","04","150","","","1"
"3D9.1C2D76397D","Chinook","Observation","B2J - Bonneville PH2 Juvenile","B2J","Bonneville PH2 Juvenile","B2J","5/10/2012 8:34:27 PM","A1","150","","","1"
"3D9.1C2D76397D","Chinook","Observation","B2J - Bonneville PH2 Juvenile","B2J","Bonneville PH2 Juvenile","B2J","5/10/2012 8:34:28 PM","A2","150","","","1"
"3D9.1C2D76397D","Chinook","Observation","B2J - Bonneville PH2 Juvenile","B2J","Bonneville PH2 Juvenile","B2J","5/10/2012 8:34:28 PM","A3","150","","","1"
"3D9.1C2D76397D","Chinook","Observation","B2J - Bonneville PH2 Juvenile","B2J","Bonneville PH2 Juvenile","B2J","5/10/2012 8:34:29 PM","A4","150","","","1"
"3D9.1C2D76397D","Chinook","Observation","B2J - Bonneville PH2 Juvenile","B2J","Bonneville PH2 Juvenile","B2J","5/10/2012 8:34:34 PM","81","150","","","1"
"3D9.1C2D76397D","Chinook","Observation","B2J - Bonneville PH2 Juvenile","B2J","Bonneville PH2 Juvenile","B2J","5/10/2012 8:34:35 PM","82","150","","","1"
"3D9.1C2D76397D","Chinook","Observation","GOJ - Little Goose Dam Juvenile","GOJ","Little Goose Dam Juvenile","GOJ","4/30/2012 7:01:01 AM","01","150","","","1"
"3D9.1C2D76397D","Chinook","Observation","GOJ - Little Goose Dam Juvenile","GOJ","Little Goose Dam Juvenile","GOJ","4/30/2012 7:01:03 AM","02","150","","","1"
"3D9.1C2D76397D","Chinook","Observation","GOJ - Little Goose Dam Juvenile","GOJ","Little Goose Dam Juvenile","GOJ","4/30/2012 7:01:07 AM","03","150","","","1"
"3D9.1C2D76397D","Chinook","Observation","GOJ - Little Goose Dam Juvenile","GOJ","Little Goose Dam Juvenile","GOJ","4/30/2012 7:01:09 AM","04","150","","","1"
"3D9.1C2D76397D","Chinook","Observation","GRJ - Lower Granite Dam Juvenile","GRJ","Lower Granite Dam Juvenile","GRJ","4/26/2012 6:13:10 AM","A1","140","","","1"
"3D9.1C2D76397D","Chinook","Observation","GRJ - Lower Granite Dam Juvenile","GRJ","Lower Granite Dam Juvenile","GRJ","4/26/2012 6:13:10 AM","A2","140","","","1"
"3D9.1C2D76397D","Chinook","Observation","GRJ - Lower Granite Dam Juvenile","GRJ","Lower Granite Dam Juvenile","GRJ","4/26/2012 6:13:22 AM","C1","140","","","1"
"3D9.1C2D76397D","Chinook","Observation","GRJ - Lower Granite Dam Juvenile","GRJ","Lower Granite Dam Juvenile","GRJ","4/26/2012 6:13:22 AM","C2","140","","","1"
"3D9.1C2D76397D","Chinook","Observation","GRJ - Lower Granite Dam Juvenile","GRJ","Lower Granite Dam Juvenile","GRJ","4/26/2012 6:13:24 AM","91","140","","","1"
"3D9.1C2D76397D","Chinook","Observation","GRJ - Lower Granite Dam Juvenile","GRJ","Lower Granite Dam Juvenile","GRJ","4/26/2012 6:13:24 AM","92","140","","","1"
"3D9.1C2D76397D","Chinook","Observation","LMJ - Lower Monumental Dam Juvenile","LMJ","Lower Monumental Dam Juvenile","LMJ","5/2/2012 5:31:10 AM","01","150","","","1"
"3D9.1C2D76397D","Chinook","Observation","LMJ - Lower Monumental Dam Juvenile","LMJ","Lower Monumental Dam Juvenile","LMJ","5/2/2012 5:31:13 AM","02","150","","","1"
"3D9.1C2D76397D","Chinook","Observation","LMJ - Lower Monumental Dam Juvenile","LMJ","Lower Monumental Dam Juvenile","LMJ","5/2/2012 5:31:15 AM","03","150","","","1"
"3D9.1C2D76397D","Chinook","Observation","LMJ - Lower Monumental Dam Juvenile","LMJ","Lower Monumental Dam Juvenile","LMJ","5/2/2012 5:31:17 AM","04","150","","","1"
"3D9.1C2D76397D","Chinook","Observation","LMJ - Lower Monumental Dam Juvenile","LMJ","Lower Monumental Dam Juvenile","LMJ","5/2/2012 5:33:36 AM","A1","150","","","1"
"3D9.1C2D76397D","Chinook","Observation","LMJ - Lower Monumental Dam Juvenile","LMJ","Lower Monumental Dam Juvenile","LMJ","5/2/2012 5:33:36 AM","A2","150","","","1"
"3D9.1C2D76397D","Chinook","Observation","LMJ - Lower Monumental Dam Juvenile","LMJ","Lower Monumental Dam Juvenile","LMJ","5/2/2012 5:33:36 AM","A3","150","","","1"
"3D9.1C2D76397D","Chinook","Observation","LMJ - Lower Monumental Dam Juvenile","LMJ","Lower Monumental Dam Juvenile","LMJ","5/2/2012 5:33:37 AM","A4","150","","","1"
