"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","Event Length mm","Event Weight g","CTH Count"
"384.3B2396ECE0","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","7/8/2013 6:19:00 AM","NA","0","LEMHIR","7/8/2013 2:35:00 PM","74","","1"
"384.3B2396ED3E","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","7/6/2013 6:27:00 AM","NA","0","LEMHIR","7/6/2013 12:43:00 PM","160","60","1"
"384.3B2396F052","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/16/2013 7:50:00 AM","NA","0","HAYDNC","9/16/2013 3:05:00 PM","76","","1"
"384.3B2396F052","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","HYC","12/14/2013 9:36:15 PM","A1","120","","","","","1"
"384.3B2396F06D","Chinook","Wild Fish or Natural Production","Mark","River","LLSPRC","9/29/2013 9:32:00 AM","NA","0","LLSPRC","9/29/2013 2:40:00 PM","94","11.7","1"
"384.3B2396F06D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/8/2014 11:31:01 AM","01","150","","","","","1"
"384.3B2396F06D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/8/2014 11:31:04 AM","02","150","","","","","1"
"384.3B2396F06D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/8/2014 11:31:07 AM","03","150","","","","","1"
"384.3B2396F06D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/8/2014 11:31:09 AM","04","150","","","","","1"
"384.3B2396F06D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/1/2014 2:40:59 AM","B1","140","","","","","1"
"384.3B2396F06D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/1/2014 2:40:59 AM","B2","140","","","","","1"
"384.3B2396F06D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/1/2014 2:41:11 AM","C1","140","","","","","1"
"384.3B2396F06D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/1/2014 2:41:11 AM","C2","140","","","","","1"
"384.3B2396F06D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/1/2014 2:41:13 AM","91","140","","","","","1"
"384.3B2396F06D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/1/2014 2:41:13 AM","92","140","","","","","1"
"384.3B2396F06D","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LLS","10/2/2013 5:19:09 AM","A1","100","","","","","1"
"384.3B2396F06D","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LLS","10/2/2013 5:20:09 AM","A1","100","","","","","1"
"384.3B2396F06D","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LLS","10/2/2013 6:22:55 AM","A2","100","","","","","1"
"384.3B2396F06D","Chinook","Wild Fish or Natural Production","Recapture","River","LLSPRC","10/1/2013 9:12:00 AM","NA","0","LLSPRC","10/1/2013 2:14:00 PM","","","1"
"384.3B2396F17E","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/14/2013 7:26:00 AM","NA","0","HAYDNC","9/15/2013 4:27:00 AM","69","3.4","1"
"384.3B2396F1DF","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","7/6/2013 6:27:00 AM","NA","0","LEMHIR","7/6/2013 12:43:00 PM","155","57","1"
"384.3B2396F1DF","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LRW","9/18/2013 11:32:05 PM","A4","110","","","","","1"
"384.3B2396F1DF","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LRW","9/18/2013 11:32:14 PM","A6","110","","","","","1"
"384.3B2396F244","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/12/2013 8:01:00 AM","NA","0","HAYDNC","9/12/2013 4:06:00 PM","82","","1"
"384.3B2396F244","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","HYC","10/1/2013 6:47:23 AM","A1","120","","","","","1"
"384.3B2396F248","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/18/2013 7:41:00 AM","NA","0","HAYDNC","9/18/2013 3:04:00 PM","87","","1"
"384.3B2396F5F7","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/16/2013 7:50:00 AM","NA","0","HAYDNC","9/16/2013 3:05:00 PM","82","","1"
"384.3B2396F5F7","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LLR","12/8/2013 4:43:13 PM","A5","110","","","","","1"
"384.3B2396F644","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/16/2013 7:50:00 AM","NA","0","HAYDNC","9/16/2013 3:05:00 PM","69","","1"
"384.3B2396F644","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","7/4/2014 8:55:39 AM","01","170","","","","","1"
"384.3B2396F644","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","7/4/2014 8:55:43 AM","02","170","","","","","1"
"384.3B2396F644","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","7/4/2014 8:55:44 AM","03","170","","","","","1"
"384.3B2396F644","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","7/4/2014 8:55:47 AM","04","170","","","","","1"
"384.3B2396F644","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","HYC","5/26/2014 9:43:25 PM","A3","120","","","","","1"
"384.3B2396F644","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","HYC","5/26/2014 9:43:25 PM","A4","120","","","","","1"
"384.3B2396F694","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","7/10/2013 6:30:00 AM","NA","0","LEMHIR","7/10/2013 12:10:00 PM","83","","1"
"384.3B2396F6E4","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/18/2013 7:41:00 AM","NA","0","HAYDNC","9/18/2013 3:04:00 PM","79","","1"
"384.3B2396FA3B","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","7/6/2013 6:27:00 AM","NA","0","LEMHIR","7/6/2013 12:43:00 PM","170","73","1"
"384.3B2396FA9C","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/13/2013 8:12:00 AM","NA","0","HAYDNC","9/13/2013 12:06:00 PM","82","","1"
"384.3B2396FB9E","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/18/2013 7:41:00 AM","NA","0","HAYDNC","9/18/2013 3:04:00 PM","86","","1"
"384.3B2397014A","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","7/9/2013 5:36:00 AM","NA","0","LEMHIR","7/9/2013 2:23:00 PM","85","","1"
"384.3B23970172","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/18/2013 7:41:00 AM","NA","0","HAYDNC","9/18/2013 3:04:00 PM","84","","1"
"384.3B2397018D","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","7/9/2013 5:36:00 AM","NA","0","LEMHIR","7/9/2013 2:23:00 PM","77","","1"
"384.3B23970582","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/16/2013 7:50:00 AM","NA","0","HAYDNC","9/16/2013 3:05:00 PM","86","","1"
